index,axis-0,axis-1,axis-2
192.0,95.0,264.068435356801,583.3416087547076
193.0,95.0,381.76487827191994,448.3368654108948
194.0,95.0,502.9229812727776,344.48706283873105
195.0,95.0,669.0826653882395,261.40722078100004
196.0,95.0,807.5490688177913,202.5589993234406
197.0,95.0,977.1704130189921,181.78904376095235
198.0,95.0,1146.791757220193,202.55900427538512
199.0,95.0,1319.8747615071327,278.7155261616385
200.0,95.0,1482.5727855368557,379.10366864806343
201.0,95.0,1600.2692284519746,482.9534712202273
202.0,95.0,1711.042351195616,666.4214557643833
203.0,95.0,1794.1221932533472,853.3511003942781
204.0,95.0,1870.2787151396005,1071.4356857958219
205.0,95.0,1891.0486756540333,1251.4420102542392
206.0,95.0,1859.8937348823843,1448.7566351413502
207.0,95.0,1801.0455134248248,1625.3012995140286
208.0,95.0,1704.1190310241386,1781.0760033722743
209.0,95.0,1607.1925486234525,1926.4657269733036
210.0,95.0,1520.6510464799826,2026.8538694597287
211.0,110.0,1852.9704147109067,1192.5937887966797
212.0,110.0,1866.8170550538616,1459.1416153985667
213.0,110.0,1856.4320747966453,1694.5345012288046
214.0,110.0,1756.0439323102205,1857.2325252585279
215.0,110.0,1648.7324696523178,2009.5455690310346
216.0,110.0,1465.2644851081618,2116.8570316889372
217.0,110.0,1326.7980816786103,2307.2483364045706
218.0,110.0,1157.1767374774095,2442.2530797483837
219.0,110.0,1008.3253537906413,2584.181143263674
220.0,110.0,817.9340490750078,2656.876005064189
221.0,110.0,651.7743649595458,2622.259404206801
222.0,110.0,471.7680405011286,2445.7147398341226
223.0,110.0,347.1482774145321,2300.3250162330933
224.0,110.0,288.30005595697264,2203.398533832407
225.0,110.0,219.06685424219683,2047.6238299741613
226.0,110.0,170.60361304185372,1888.387466030177
227.0,110.0,135.98701218446578,1729.1511020861924
228.0,110.0,118.67871175577181,1549.1447776277753
229.0,110.0,94.44709115560028,1327.5985321404926
230.0,110.0,115.21705167003302,1140.6688875105979
231.0,110.0,118.67871175577179,991.8175038238297
232.0,110.0,167.14195295611486,829.1194797941065
233.0,110.0,198.296893727764,659.4981355929057
234.0,110.0,257.14511518532345,534.8783725063091
235.0,110.0,295.2233761284501,441.4135501913617
236.0,110.0,464.84472032965095,313.3321270190264
237.0,110.0,592.9261435019862,240.6372652185118
238.0,110.0,811.0107289035301,188.71236393242995
239.0,110.0,963.3237726760369,174.86572358947478
240.0,110.0,1136.4067769629767,188.71236393242995
241.0,110.0,1302.5664610784386,254.483905561467
242.0,110.0,1420.2629039935575,334.10208753345916
243.0,110.0,1531.0360267371989,431.0285699341454
244.0,110.0,1648.7324696523178,555.6483330207419
245.0,110.0,1756.0439323102203,673.3447759358609
246.0,110.0,1801.0455134248245,794.5028789367186
247.0,110.0,1825.2771340249963,953.739242880703
248.0,110.0,1849.5087546251677,1064.5123656243443
249.0,141.0,1551.8059872516317,455.26019053431696
250.0,141.0,1465.2644851081618,323.71710727624276
251.0,141.0,1344.1063821073042,226.79062487555666
252.0,141.0,1209.1016387634913,174.86572358947478
253.0,141.0,1039.4802945622905,150.63410298930324
254.0,141.0,887.1672507897835,150.63410298930324
255.0,141.0,738.3158671030154,164.48074333225838
256.0,141.0,582.5411632447698,178.32738367521355
257.0,141.0,461.38306024391215,244.0989253042506
258.0,141.0,315.9933366428829,309.8704669332876
259.0,141.0,236.3751546708907,413.72026950545137
260.0,141.0,1631.424169223624,583.3416137066523
261.0,141.0,1735.2739717957877,732.1929973934203
262.0,141.0,1814.8921537677797,932.9692823662702
263.0,141.0,1832.2004541964739,1061.0507055386056
264.0,141.0,1842.5854344536901,1241.0570299970227
265.0,141.0,1873.7403752253392,1421.06335445544
266.0,141.0,1866.8170550538616,1601.0696789138572
267.0,141.0,1863.355394968123,1784.5376634580132
268.0,141.0,1852.9704147109067,1916.0807467160873
269.0,134.0,149.8336525274209,548.7250128492643
270.0,134.0,90.98543106986145,718.3463570504651
271.0,134.0,66.75381046968991,915.6609819375764
272.0,134.0,63.29215038395112,1161.4388480250307
273.0,134.0,56.36883021247355,1403.755054026746
274.0,134.0,59.83049029821235,1590.6846986566409
275.0,134.0,84.0621108983839,1770.691023115058
276.0,134.0,139.44867227020458,1974.9289681736468
277.0,134.0,191.37357355628646,2165.32027288928
278.0,134.0,284.83839587123384,2359.1732376906525
279.0,134.0,447.53641990095707,2501.101301205943
280.0,134.0,613.696104016419,2563.4111827492416
281.0,134.0,824.8573692464853,2584.181143263674
282.0,134.0,1060.2502550767233,2587.642803349413
283.0,134.0,1271.4115203067895,2476.8696806057715
284.0,134.0,1517.1893863942437,2341.864937261959
285.0,134.0,1693.734050766922,2120.318691774676
286.0,134.0,1797.5838533390859,1961.0823278306916
